county,cases,deaths,date_index_converted,county_data_length,core_jaccard,core_cosine,core_intersection,social_jaccard,politics_jaccard,politics_democratic_love_jaccard,nationalistic_jaccard,politics_republican_hate_jaccard,entertainment_jaccard,sports_jaccard,race_jaccard,economy_jaccard,foreign_jaccard,religion_jaccard,health_jaccard,politics_republican_love_jaccard,health_technology_jaccard,politics_democratic_hate_jaccard,domestic_jaccard,illness_jaccard,ideology_jaccard,education_jaccard,gender_jaccard,social_cosine,politics_cosine,politics_democratic_love_cosine,nationalistic_cosine,politics_republican_hate_cosine,entertainment_cosine,sports_cosine,race_cosine,economy_cosine,foreign_cosine,religion_cosine,health_cosine,politics_republican_love_cosine,health_technology_cosine,politics_democratic_hate_cosine,domestic_cosine,illness_cosine,ideology_cosine,education_cosine,gender_cosine,social_intersection,politics_intersection,politics_democratic_love_intersection,nationalistic_intersection,politics_republican_hate_intersection,entertainment_intersection,sports_intersection,race_intersection,economy_intersection,foreign_intersection,religion_intersection,health_intersection,politics_republican_love_intersection,health_technology_intersection,politics_democratic_hate_intersection,domestic_intersection,illness_intersection,ideology_intersection,education_intersection,gender_intersection,core_jaccard_normalized,core_cosine_normalized,core_intersection_normalized,ideology_jaccard_normalized,race_jaccard_normalized,economy_jaccard_normalized,sports_jaccard_normalized,foreign_jaccard_normalized,domestic_jaccard_normalized,nationalistic_jaccard_normalized,politics_democratic_love_jaccard_normalized,health_technology_jaccard_normalized,education_jaccard_normalized,gender_jaccard_normalized,religion_jaccard_normalized,social_jaccard_normalized,politics_republican_love_jaccard_normalized,politics_jaccard_normalized,entertainment_jaccard_normalized,politics_republican_hate_jaccard_normalized,politics_democratic_hate_jaccard_normalized,health_jaccard_normalized,illness_jaccard_normalized,ideology_cosine_normalized,race_cosine_normalized,economy_cosine_normalized,sports_cosine_normalized,foreign_cosine_normalized,domestic_cosine_normalized,nationalistic_cosine_normalized,politics_democratic_love_cosine_normalized,health_technology_cosine_normalized,education_cosine_normalized,gender_cosine_normalized,religion_cosine_normalized,social_cosine_normalized,politics_republican_love_cosine_normalized,politics_cosine_normalized,entertainment_cosine_normalized,politics_republican_hate_cosine_normalized,politics_democratic_hate_cosine_normalized,health_cosine_normalized,illness_cosine_normalized,ideology_intersection_normalized,race_intersection_normalized,economy_intersection_normalized,sports_intersection_normalized,foreign_intersection_normalized,domestic_intersection_normalized,nationalistic_intersection_normalized,politics_democratic_love_intersection_normalized,health_technology_intersection_normalized,education_intersection_normalized,gender_intersection_normalized,religion_intersection_normalized,social_intersection_normalized,politics_republican_love_intersection_normalized,politics_intersection_normalized,entertainment_intersection_normalized,politics_republican_hate_intersection_normalized,politics_democratic_hate_intersection_normalized,health_intersection_normalized,illness_intersection_normalized,total_pop,percent_25_34,percent_highschool,labor_force_rate,unemployment_rate,median_housing_cost,median_household_earnings,median_worker_earnings,percent_insured,percent_married,poverty_rate,median_property_value,percent_white
Richland,0,0,day_10,363,0,0,0,1.12E-05,0.00015143,5.30E-05,0,0,0,0,0,0,0,0,0,0.000125219,0,0,4.68E-05,0,0,0,0,5.42E-05,0.000902264,0.00015352,0,0,0,0,0,0,0,0,0,0.000355646,0,0,0.000522217,0,0,0,0,0.002754821,0.013774105,0.002754821,0,0,0,0,0,0,0,0,0,0.002754821,0,0,0.011019284,0,0,0,0,0,0,0,0,0,0,0,0,0.005499,0,0.021079057,0,0,0,0,0.002632,0.010518396,0.018491421,0,0,0,0,0,0,0,0,0,0,0.007971297,0,0.010371074,0,0,0,0,0.00083087,0.008997211,0.023939769,0,0,0,0,0,0,0,0,0,0,0.005509642,0,0.023534042,0,0,0,0,0.002754821,0.011019284,0.018281994,0,0,0,0,0,122312,12.1,86.9,55.5,7.5,675,41877,23210,90.5,48.3,15.6,103700,0.868085211
Lawrence,119,0,day_105,256,0,0,0,0,0,0,0,0,0.000123123,1.59E-05,0,0,0,0,0,0.000195313,0,0,0,0,0,0,0,0,0,0,0,0,0.000987929,0.00011253,0,0,0,0,0,0.000873464,0,0,0,0,0,0,0,0,0,0,0,0,0.04296875,0.00390625,0,0,0,0,0,0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007588908,0,0,0,0,0,0,0,0,0,0.016406292,0,0.085539566,0,0,0,0,0,0,0,0.006819267,0,0,0,0,0,0,0,0,0,0.022097085,0,0.041347564,0,0,0,0,0,0,0,0.007667824,0,0,0,0,0,0,0,0,0,0.015625,0,0.0859375,0,0,0,0,61827,11.8,85.9,53.5,6.5,655,42874,23510,92.2,49.3,18.6,101500,0.954026565
Wayne,49,0,day_90,769,7.56E-05,0.000369829,0.006501951,3.86E-05,0,0,0,0,0,5.33E-06,0,9.78E-06,0,1.76E-05,0,0,0,0,6.68E-05,5.02E-05,0,2.20E-05,0,0.000433716,0,0,0,0,0,4.19E-05,0,6.56E-05,0,0.000151167,0,0,0,0,0.000893791,0.000400725,0,0.000120738,0,0.009102731,0,0,0,0,0,0.00130039,0,0.00130039,0,0.00130039,0,0,0,0,0.015604681,0.006501951,0,0.00130039,0,0.032428189,0.020211305,0.032509755,0,0,0.002623369,0.002543955,0,0.007849,0,0,0,0.005192,0,0.005979337,0.009071,0,0,0,0,0,0,0.033722123,0,0,0.001537406,0.002539121,0,0.013643128,0,0,0,0.005201552,0,0.009111623,0.00664874,0,0,0,0,0,0,0.03641089,0,0,0.002662703,0.002552617,0,0.007802341,0,0,0,0.00520156,0,0.005851755,0.009102731,0,0,0,0,0,0,0.03336247,115371,11.6,85.8,64,4,762,50383,26658,87.2,55.1,13,140100,0.950541345
Fayette,7,0,day_85,36,0,0,0,0,0,0,0,0,0.000480307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008947135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33369275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37446237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333334,0,0,0,0,28769,11.7,87.1,59.3,6.3,732,40503,25858,91.3,51.8,17.7,108900,0.940053735
Trumbull,0,0,day_7,554,0,0,0,4.58E-05,0,0,0,0,8.82E-05,4.49E-05,0,2.56E-05,0,0,0,0,0,0,3.80E-05,0,0,0,0,0.000532762,0,0,0,0,0.001455477,0.000648499,0,9.54E-05,0,0,0,0,0,0,0.000248911,0,0,0,0,0.010830325,0,0,0,0,0.030685921,0.010830325,0,0.003610108,0,0,0,0,0,0,0.009025271,0,0,0,0,0,0,0,0,0,0.006866896,0.021430314,0,0.004465,0,0,0,0,0,0,0.010763,0,0,0.061276851,0,0,0,0,0,0,0.002235801,0.039298744,0,0.003799462,0,0,0,0,0,0,0.008167087,0,0,0.060915742,0,0,0,0,0,0,0.007392126,0.021259527,0,0.004512636,0,0,0,0,0,0,0.010830325,0,0,0.061371842,0,0,0,0,206373,11.1,89,56.4,5.9,661,43073,25800,91.7,49.1,17.2,101600,0.885723981
Clinton,182,0,day_112,71,0.000253796,0.00052932,0.028169014,0.000330703,0,0,0,0,3.79E-05,0,0,0,0.000853694,0,0,0.000670691,0,0,0.000397918,0,0,0.000227169,0,0.00141172,0,0,0,0,0.000148283,0,0,0,0.001878901,0,0,0.002226956,0,0,0.002188412,0,0,0.000827071,0,0.084507042,0,0,0,0,0.014084507,0,0,0,0.084507042,0,0,0.014084507,0,0,0.098591549,0,0,0.014084507,0,0.108864349,0.028927552,0.14084507,0,0,0,0,0.343724181,0.046755367,0,0,0,0.053611886,0,0,0.077715208,0.056338044,0,0.026330983,0,0,0,0,0,0,0,0,0.205776232,0.03340466,0,0,0,0.03563131,0,0,0.021641258,0.056338025,0,0.006206054,0,0,0,0,0,0,0,0,0.338028168,0.049295775,0,0,0,0.056338028,0,0,0.084507042,0.056338028,0,0.028169014,0,0,0,0,41892,11.2,88.7,62.4,6.6,781,46787,25751,92.6,52.6,14.7,123700,0.941699109
Shelby,0,0,day_1,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000119589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00102874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008849558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040628578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062007525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039823011,0,0,0,0,0,0,0,0,49067,11.3,90.6,68.1,5.3,776,54550,30213,95.5,56.4,8.9,137800,0.942763077
Tuscarawas,196,0,day_104,276,8.48E-05,0.000603611,0.007246377,0.000105487,0,0,0,9.06E-05,4.04E-05,0,0,0,0,0,0,0,0,0,7.52E-05,5.32E-05,0,0,0,0.000873349,0,0,0,0.00081017,0.000194503,0,0,0,0,0,0,0,0,0,0.000484325,0.000398755,0,0,0,0.025362319,0,0,0,0.007246377,0.014492754,0,0,0,0,0,0,0,0,0,0.018115942,0.007246377,0,0,0,0.036374477,0.032987586,0.036231885,0,0,0,0,0,0.008836,0,0,0,0,0,0,0.024789446,0,0,0.028067855,0.024643197,0,0,0.035737389,0,0,0,0,0,0.0073929,0,0,0,0,0,0,0.013388187,0,0,0.008140489,0.024637694,0,0,0.036231891,0,0,0,0,0,0.009057971,0,0,0,0,0,0,0.025362319,0,0,0.028985508,0.024637682,0,0,0.03718223,92697,11.4,86.3,62,4.9,722,45310,25370,90.3,54.2,13.8,117100,0.968172829
Champaign,0,0,day_50,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39393,10.8,89.7,62.5,7.3,814,50974,27550,93.9,55.3,11.1,126700,0.944725035
Morrow,7,0,day_94,66,0.000178253,0.001478636,0.015151515,0.000128136,0,0,0,0,4.37E-05,6.24E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001482564,0,0,0,0,0.000813376,0.000563491,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303,0,0,0,0,0.015151515,0.015151515,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076460609,0.080808057,0.075757575,0,0,0,0.029782886,0,0,0,0,0,0,0,0,0.030111961,0,0,0.030360526,0,0,0,0,0,0,0,0.034147298,0,0,0,0,0,0,0,0,0.022727276,0,0,0.034042037,0,0,0,0,0,0,0,0.029741863,0,0,0,0,0,0,0,0,0.03030303,0,0,0.03030303,0,0,0,0,34996,10.3,87.9,64.2,4.3,821,51993,26935,93.8,55.9,9.7,139400,0.972892515
